experiment_name, evaluation_name, evaluation_function, measured_value, experiment_result, system_timestamp
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.573689237536511,            False,            15.399999999999977
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.1964759885015703,            False,            15.399999999999977
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.570245024292745,            False,            15.599999999999977
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.248299519555001,            False,            15.599999999999977
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.569495046604423,            False,            15.799999999999976
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.2962691263291868,            False,            15.799999999999976
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.571238212068895,            False,            15.999999999999975
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.3404070893168116,            False,            15.999999999999975
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.575274646815275,            False,            16.199999999999974
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.380755678186438,            False,            16.199999999999974
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.581406736814348,            False,            16.399999999999974
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.417375383122659,            False,            16.399999999999974
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.589440076155567,            False,            16.599999999999973
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.4503431789425694,            False,            16.599999999999973
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.599184324107677,            False,            16.799999999999972
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.4797508292822448,            False,            16.799999999999972
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.610453973162816,            False,            16.99999999999997
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.5057032373409176,            False,            16.99999999999997
